,week,zipcode,date,Longitude,Latitude,State,City,Zip,data_avail
406,563,99337,10/13/21 12:00 AM,-119.10456,46.169982,WA,Kennewick,99337,1
356,566,98391,11/10/21 12:00 AM,-122.2,47.2,WA,Bonney Lake,98391,1
400,566,98059,11/10/21 12:00 AM,-122.14169,47.493031,WA,Renton,98059,1
407,568,98941,11/22/21 12:00 AM,-120.99286,47.224876,WA,Roslyn,98941,1
247,568,98103,11/23/21 12:00 AM,-122.34166,47.671346,WA,Seattle,98103,1
408,568,98008,11/23/21 12:00 AM,-122.1155,47.609222,WA,Bellevue,98008,1
328,571,98133,12/10/21 12:00 AM,-122.34461,47.733852,WA,Seattle,98133,1
412,571,98445,12/10/21 12:00 AM,-122.41196,47.148269,WA,Tacoma,98445,1
414,572,98107,12/19/21 12:00 AM,-122.37468,47.66747,WA,Seattle,98107,1
409,572,98008,12/19/21 12:00 AM,-122.1155,47.609222,WA,Bellevue,98008,1
278,572,98006,12/20/21 12:00 AM,-122.1526,47.562975,WA,Bellevue,98006,1
415,574,98075,12/28/21 12:00 AM,-122.033685,47.584879,WA,Sammamish,98075,1
96,573,98683,12/30/21 12:00 AM,-122.51035,45.604075,WA,Vancouver,98683,1
147,574,98512,1/2/22 12:00 AM,-122.99802,46.969793,WA,Olympia,98512,1
101,575,98126,1/11/22 12:00 AM,-122.3748,47.54687,WA,Seattle,98126,1
166,577,98166,1/17/22 12:00 AM,-122.34943,47.458821,WA,Seattle,98166,1
234,576,98052,1/18/22 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,1
143,577,98108,1/24/22 12:00 AM,-122.31514,47.546188,WA,Seattle,98108,1
418,578,98629,1/24/22 12:00 AM,-122.62193,45.8768,WA,La Center,98629,1
297,579,98058,1/30/22 12:00 AM,-122.14584,47.448322,WA,Renton,98058,1
177,579,98036,1/31/22 12:00 AM,-122.28394,47.808816,WA,Lynnwood,98036,1
235,578,98052,2/2/22 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,1
419,579,98270,2/6/22 12:00 AM,-122.1588,48.061269,WA,Marysville,98270,1
16,579,98105,2/10/22 12:00 AM,-122.30118,47.66377,WA,Seattle,98105,1
391,580,98034,2/15/22 12:00 AM,-122.19702,47.71828,WA,Kirkland,98034,1
420,582,98662,2/26/22 12:00 AM,-122.57894,45.671806,WA,Vancouver,98662,1
109,583,98125,2/27/22 12:00 AM,-122.30308,47.716648,WA,Seattle,98125,1
269,585,98102,3/20/22 12:00 AM,-122.32253,47.63287,WA,Seattle,98102,1
51,585,98055,3/22/22 12:00 AM,-122.21005,47.467422,WA,Renton,98055,1
307,588,98208,4/5/22 12:00 AM,-122.19797,47.893451,WA,Everett,98208,1
2,589,98501,4/14/22 12:00 AM,-122.8819,47.014718,WA,Olympia,98501,1
236,588,98052,4/14/22 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,1
218,588,98155,4/15/22 12:00 AM,-122.30373,47.753019,WA,Seattle,98155,1
