Longitude,Latitude,State,City,Zip
-121.803388,47.432251,WA,Burton,98013
-119.23982,46.192356,WA,Kennewick,99338
-121.978279,47.741268,WA,Duvall,98319
-119.9395,48.03925,WA,Pateros,98846
-117.595751,47.55988,WA,Four Lakes,99014
-121.682271,48.037258,WA,Silvana,98287
-120.11338,47.360902,WA,Rock Island,98850
-122.55751,47.735065,WA,Suquamish,98392
-118.43136,47.107228,WA,Ritzville,99169
-117.37365,47.240334,WA,Rosalia,99170
-120.37126,47.737028,WA,Ardenvoir,98811
-120.99286,47.224876,WA,Roslyn,98941
-121.803388,47.432251,WA,Seattle,98158
-122.34461,47.733852,WA,Seattle,98133
-122.113791,47.311041,WA,Federal Way,98093
-122.76897,47.268551,WA,Lakebay,98349
-122.91828,48.594255,WA,Orcas,98280
-122.140193,47.617634,WA,Bellevue,98067
-117.2491,46.086657,WA,Anatone,99401
-117.67344,47.595572,WA,Fairchild Air Force Base,99011
-122.19702,47.71828,WA,Kirkland,98034
-122.291,47.028423,WA,Graham,98338
-122.11068,47.846083,WA,Snohomish,98296
-122.576199,47.680763,WA,Rollingbay,98061
-122.62846,45.63873,WA,Vancouver,98661
-118.55652,46.648121,WA,Kahlotus,99335
-122.95142,46.728383,WA,Centralia,98531
-122.39758,47.64767,WA,Seattle,98199
-121.88638,47.565642,WA,Fall City,98024
-120.33322,46.540842,WA,Moxee,98936
-122.22021,47.790653,WA,Bothell,98021
-122.37838,47.685919,WA,Seattle,98117
-122.63419,45.712623,WA,Vancouver,98686
-122.113223,47.066193,WA,Lakewood,98497
-119.06888,46.467186,WA,Eltopia,99330
-117.18568,47.383651,WA,Fairfield,99012
-117.81647,48.897876,WA,Northport,99157
-122.113223,47.066193,WA,Camp Murray,98430
-123.32595,46.959091,WA,Malone,98559
-123.1016,46.483547,WA,Curtis,98538
-121.5395,45.981582,WA,Trout Lake,98650
-122.30122,47.68382,WA,Seattle,98115
-122.57616,46.528282,WA,Silver Creek,98585
-119.54481,47.880616,WA,Mansfield,98830
-123.07563,48.55113,WA,Friday Harbor,98250
-122.63041,47.743302,WA,Poulsbo,98370
-122.16858,47.611021,WA,Bellevue,98005
-122.32247,47.112477,WA,Puyallup,98375
-117.08313,46.400365,WA,Clarkston,99403
-119.8857,46.726526,WA,Mattawa,99349
-121.56075,48.265483,WA,Darrington,98241
-122.51319,45.67309,WA,Vancouver,98682
-122.30118,47.66377,WA,Seattle,98105
-122.51789,45.791345,WA,Battle Ground,98604
-117.59325,47.801194,WA,Nine Mile Falls,99026
-118.21339,48.003202,WA,Fruitland,99129
-123.54788,46.561375,WA,Lebam,98554
-121.91332,45.669604,WA,Stevenson,98648
-122.21005,47.467422,WA,Renton,98055
-119.75203,48.112268,WA,Brewster,98812
-119.57656,48.343356,WA,Okanogan,98840
-121.29141,45.844123,WA,Appleton,98602
-122.113223,47.066193,WA,Tacoma,98412
-120.75703,45.846697,WA,Goldendale,98620
-123.40713,47.03575,WA,Elma,98541
-119.38169,48.9332,WA,Oroville,98844
-117.431742,47.653568,WA,Spokane,99210
-122.34517,48.337796,WA,Conway,98238
-122.69804,45.795825,WA,Ridgefield,98642
-122.976187,47.065404,WA,Olympia,98505
-124.04801,46.501781,WA,Ocean Park,98640
-117.793734,47.646148,WA,Spokane,99209
-117.176954,47.079345,WA,Belmont,99104
-117.40636,47.629091,WA,Spokane,99203
-118.3799,47.376884,WA,Mohler,99154
-123.93844,46.282397,WA,Chinook,98614
-122.29752,47.629653,WA,Seattle,98112
-122.27472,47.450321,WA,Seattle,98188
-123.98121,46.737458,WA,Tokeland,98590
-124.02626,46.554,WA,Oysterville,98641
-121.803388,47.432251,WA,Seattle,98184
-118.38466,46.044936,WA,College Place,99324
-122.113223,47.066193,WA,Tacoma,98450
-122.52023,45.627459,WA,Vancouver,98684
-122.20457,47.84311,WA,Bothell,98012
-122.57129,48.085852,WA,Greenbank,98253
-117.33776,47.707542,WA,Spokane,99217
-117.6013,48.102048,WA,Loon Lake,99148
-122.44498,47.209021,WA,Tacoma,98408
-119.08897,47.641983,WA,Hartline,99135
-122.63479,47.569167,WA,Bremerton,98337
-117.25463,47.136249,WA,Oakesdale,99158
-123.01599,46.630721,WA,Chehalis,98532
-117.29378,47.921687,WA,Chattaroy,99003
-121.988548,48.814753,WA,Bellingham,98228
-122.60562,47.301252,WA,Gig Harbor,98335
-122.29514,46.562676,WA,Morton,98356
-117.644337,46.838747,WA,Pullman,99164
-122.67573,46.871178,WA,Rainier,98576
-117.25208,46.793604,WA,Albion,99102
-118.88468,46.059013,WA,Wallula,99363
-122.69416,47.907561,WA,Port Ludlow,98365
-124.02968,46.312541,WA,Ilwaco,98624
-122.27131,47.198591,WA,Puyallup,98372
-117.96887,46.319087,WA,Dayton,99328
-121.241591,46.915735,WA,Goose Prairie,98929
