zip,primary_city,acceptable_cities,state,county,latitude,longitude,irs_estimated_population
98280,Orcas,,WA,San Juan County,48.61,-122.88,386
98281,Point Roberts,,WA,Whatcom County,48.98,-123.05,1160
98282,Camano Island,Stanwood,WA,Island County,48.16,-122.49,15910
98283,Rockport,,WA,Skagit County,48.8,-121.26,320
98284,Sedro Woolley,,WA,Skagit County,48.59,-122.13,23710
98286,Shaw Island,,WA,San Juan County,48.57,-122.96,222
98287,Silvana,,WA,Snohomish County,48.19,-122.25,441
98288,Skykomish,,WA,King County,47.64,-121.33,307
98290,Snohomish,,WA,Snohomish County,47.94,-122,34490
98291,Snohomish,,WA,Snohomish County,47.92,-122.09,1923
98292,Stanwood,,WA,Snohomish County,48.21,-122.28,23220
98293,Startup,,WA,Snohomish County,47.86,-121.74,394
98294,Sultan,,WA,Snohomish County,47.85,-121.74,7010
98295,Sumas,,WA,Whatcom County,48.94,-122.23,2640
98296,Snohomish,,WA,Snohomish County,47.85,-122.09,26600
98297,Waldron,,WA,San Juan County,48.69,-123.03,65
98303,Anderson Island,Anderson Is,WA,Pierce County,47.15,-122.7,1110
98304,Ashford,,WA,Pierce County,46.88,-121.74,650
98305,Beaver,,WA,Clallam County,48.06,-124.44,340
98310,Bremerton,,WA,Kitsap County,47.59,-122.62,17750
98311,Bremerton,,WA,Kitsap County,47.63,-122.63,24360
98312,Bremerton,,WA,Kitsap County,47.57,-122.75,28560
98314,Bremerton,,WA,Kitsap County,47.55,-122.64,34
98315,Silverdale,,WA,Kitsap County,47.72,-122.71,3630
98320,Brinnon,,WA,Jefferson County,47.69,-122.99,1060
98321,Buckley,,WA,Pierce County,47.13,-122.04,16120
98322,Burley,,WA,Kitsap County,47.41,-122.63,950
98323,Carbonado,,WA,Pierce County,47.01,-121.98,820
98324,Carlsborg,,WA,Clallam County,48.1,-123.17,790
98325,Chimacum,,WA,Jefferson County,47.97,-122.78,2030
98326,Clallam Bay,,WA,Clallam County,48.17,-124.53,430
98327,Dupont,,WA,Pierce County,47.09,-122.64,9690
98328,Eatonville,,WA,Pierce County,46.86,-122.25,10030
